Age,Education_Level,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Feedback_Score,Dropout_Likelihood,Gender_Female,Gender_Male,Course_Name_Machine Learning,Course_Name_Python Basics,Course_Name_Data Science,Course_Name_Web Development,Learning_Style_Visual,Learning_Style_Reading/Writing,Learning_Style_Kinesthetic
15,0,171,4,67,2,89,1,51,1,0,1,0,1,0,0,0,1,0,0
49,1,156,4,64,0,94,1,92,5,0,0,1,0,1,0,0,0,1,0
20,1,217,2,55,2,67,1,45,1,0,1,0,0,1,0,0,0,1,0
37,1,489,1,65,43,60,2,59,4,0,1,0,0,0,1,0,1,0,0
34,2,496,3,59,34,88,1,93,3,0,1,0,0,1,0,0,1,0,0
34,1,184,1,87,34,70,1,43,4,0,0,1,0,0,0,1,1,0,0
45,0,454,3,69,46,83,0,37,5,0,0,1,0,0,0,0,0,0,1
47,0,425,2,62,23,52,2,35,5,0,0,1,0,0,0,0,0,1,0
48,1,359,1,59,10,88,1,49,2,0,0,1,0,0,0,0,0,1,0
45,1,263,4,63,30,99,0,61,3,0,1,0,0,0,1,0,0,0,0
29,2,247,1,80,42,85,2,46,3,0,0,1,0,0,1,0,1,0,0
48,1,25,1,77,36,58,2,83,4,0,0,1,0,1,0,0,0,1,0
35,0,190,2,97,4,50,1,55,3,1,0,1,0,1,0,0,0,0,0
29,1,240,2,97,31,99,1,61,3,0,1,0,1,0,0,0,0,0,1
16,0,157,1,30,46,73,1,49,4,0,0,1,0,0,1,0,0,0,0
44,2,312,4,53,21,90,2,78,4,0,0,1,0,1,0,0,0,0,1
37,0,239,1,83,44,65,2,53,2,0,0,1,1,0,0,0,0,0,0
24,1,150,3,98,20,83,1,62,5,0,1,0,1,0,0,0,0,0,1
38,1,297,4,30,42,42,0,86,4,0,1,0,0,0,0,1,1,0,0
40,0,409,4,45,8,50,0,37,4,0,0,1,0,0,0,0,1,0,0
48,1,222,4,65,28,95,1,44,4,0,0,1,1,0,0,0,1,0,0
28,2,96,3,51,38,83,2,69,3,0,0,1,0,0,0,0,0,0,0
24,2,338,2,32,15,54,1,93,3,0,1,0,0,0,0,0,1,0,0
28,0,452,2,85,49,45,1,68,4,0,1,0,0,0,1,0,1,0,0
40,1,295,2,84,42,95,1,36,2,0,0,1,0,0,0,1,0,0,0
23,0,371,1,67,46,79,0,32,5,0,0,1,0,0,1,0,0,0,0
30,0,309,4,54,39,59,1,90,2,1,0,1,0,1,0,0,1,0,0
26,2,484,2,59,15,89,0,87,4,0,0,1,0,0,0,0,1,0,0
30,1,67,4,99,27,89,0,50,3,0,1,0,0,0,0,0,0,1,0
44,1,408,4,44,44,90,1,65,4,0,0,1,0,0,0,1,0,0,1
17,2,276,2,94,31,61,1,62,3,0,1,0,1,0,0,0,0,0,1
42,0,74,1,89,31,86,2,55,3,0,1,0,0,0,0,0,0,0,1
30,1,350,2,54,49,52,0,79,4,0,1,0,0,0,1,0,0,0,1
25,2,321,4,45,28,46,2,61,5,0,0,1,0,0,1,0,1,0,0
17,1,83,4,46,11,44,2,88,2,0,0,0,0,0,0,1,0,0,0
21,0,77,2,35,29,64,2,67,5,1,0,1,0,1,0,0,0,1,0
16,0,435,2,46,7,67,0,95,3,1,1,0,0,1,0,0,0,0,0
37,0,258,1,35,15,90,2,31,1,1,1,0,0,1,0,0,0,0,1
46,1,227,3,52,3,88,1,52,2,0,1,0,0,0,0,1,1,0,0
47,0,309,1,36,35,53,1,96,2,1,1,0,1,0,0,0,1,0,0
38,1,138,3,72,5,87,1,87,2,0,1,0,0,0,0,1,0,0,0
20,1,66,2,53,19,79,2,68,4,0,1,0,0,0,0,1,0,0,0
48,1,314,3,77,3,53,2,69,3,0,0,1,0,0,1,0,0,1,0
28,2,405,4,68,1,87,1,53,1,0,1,0,0,0,0,1,0,1,0
33,1,214,3,31,36,99,0,64,4,1,1,0,0,0,0,0,1,0,0
38,0,350,1,79,41,67,2,96,4,1,0,0,0,0,0,0,0,0,0
31,0,143,1,70,0,93,1,86,5,0,0,1,1,0,0,0,0,0,1
47,2,122,3,43,0,75,1,77,5,0,1,0,0,0,0,1,0,0,0
18,0,10,1,91,19,50,0,53,2,0,0,1,0,0,0,0,1,0,0
43,0,246,4,73,30,86,1,95,3,0,0,1,0,0,1,0,1,0,0
45,0,63,3,46,40,64,0,77,1,1,0,1,0,0,0,1,1,0,0
34,1,460,4,36,40,61,1,65,5,1,0,0,1,0,0,0,1,0,0
25,1,116,2,93,1,51,0,66,1,0,0,1,0,1,0,0,0,1,0
46,1,360,4,73,14,98,2,36,3,0,0,1,0,0,0,1,0,0,1
19,0,353,3,94,0,99,2,32,1,0,0,1,0,0,1,0,1,0,0
42,2,471,2,68,21,97,1,40,5,0,0,1,1,0,0,0,1,0,0
39,1,391,1,92,20,42,1,58,4,0,0,1,0,0,0,1,1,0,0
32,1,412,4,74,14,64,1,96,5,1,1,0,0,0,0,1,0,0,1
17,1,212,4,65,18,40,0,39,5,0,1,0,0,0,1,0,0,1,0
44,0,147,2,34,3,48,1,76,4,0,1,0,0,0,1,0,1,0,0
42,0,388,2,62,21,65,1,98,5,0,0,1,0,0,0,0,0,0,1
26,2,316,1,32,19,62,0,58,1,0,0,1,0,1,0,0,0,0,1
21,2,415,1,94,39,91,2,34,2,0,1,0,0,0,0,1,0,0,1
20,1,350,1,58,9,53,2,74,4,0,0,1,1,0,0,0,1,0,0
17,1,279,2,40,13,70,2,53,2,0,1,0,0,0,1,0,0,1,0
49,1,376,1,84,46,70,1,37,4,0,1,0,0,0,0,0,0,1,0
16,2,356,1,86,27,81,2,74,3,0,1,0,0,0,0,1,0,0,1
17,1,133,1,57,19,74,0,52,1,0,1,0,1,0,0,0,1,0,0
44,2,131,2,48,48,53,2,41,2,0,0,1,0,0,0,0,0,1,0
32,1,458,2,57,19,67,1,98,1,0,1,0,0,1,0,0,0,0,0
20,1,207,4,87,7,79,1,54,4,0,1,0,0,0,0,1,0,1,0
23,2,136,4,61,41,55,0,89,5,0,1,0,0,0,1,0,0,1,0
20,1,449,4,34,4,69,0,38,4,1,0,1,0,1,0,0,0,0,0
42,2,433,2,31,19,41,1,49,4,1,1,0,0,0,0,1,1,0,0
44,0,122,4,43,22,81,0,98,4,0,0,1,0,0,1,0,0,0,0
27,0,79,3,52,41,80,2,97,5,1,1,0,0,0,0,0,0,0,0
37,1,457,1,36,44,86,1,55,5,0,0,1,1,0,0,0,1,0,0
43,2,200,1,41,9,47,1,69,1,0,1,0,1,0,0,0,1,0,0
31,1,472,4,46,48,56,0,32,3,1,0,1,0,0,0,0,0,0,1
38,1,490,4,35,22,46,1,81,3,0,1,0,0,0,1,0,0,1,0
17,2,51,1,50,2,96,0,83,5,0,0,1,0,0,1,0,0,1,0
23,2,480,1,95,33,93,1,76,4,1,0,1,0,1,0,0,0,0,1
33,1,117,1,85,1,51,1,38,2,0,0,1,1,0,0,0,0,1,0
41,1,173,4,51,9,75,0,97,4,0,1,0,0,1,0,0,0,0,1
15,1,157,3,73,39,62,1,65,3,0,1,0,1,0,0,0,0,0,1
43,2,214,3,84,35,92,1,51,3,0,1,0,1,0,0,0,1,0,0
38,1,371,2,45,19,77,1,98,2,0,1,0,0,1,0,0,0,0,1
43,1,443,1,75,1,80,0,86,3,0,0,1,0,0,1,0,1,0,0
39,1,113,4,75,47,69,1,96,3,1,0,1,1,0,0,0,1,0,0
20,1,198,4,67,46,50,1,89,2,1,1,0,0,1,0,0,0,1,0
22,2,139,1,56,12,89,1,59,2,0,0,1,0,0,0,0,0,0,1
22,1,284,4,36,16,82,2,61,4,0,0,1,0,0,1,0,0,1,0
20,1,307,1,65,19,49,1,57,4,0,0,1,1,0,0,0,1,0,0
21,0,299,1,84,3,85,0,62,3,1,1,0,0,0,1,0,0,0,0
45,0,115,1,87,46,80,1,93,4,0,0,1,0,1,0,0,0,0,0
38,0,116,1,85,13,57,1,62,2,1,0,1,0,0,0,1,0,1,0
22,1,404,3,47,16,68,2,81,3,1,0,1,0,1,0,0,0,0,0
46,1,174,3,63,1,75,1,50,3,0,1,0,0,0,0,1,1,0,0
33,1,17,3,96,5,75,1,48,4,0,1,0,0,1,0,0,0,1,0
46,1,232,1,86,25,44,2,79,5,0,1,0,0,0,1,0,0,0,1
20,2,164,4,31,19,54,1,67,1,0,0,1,0,0,0,1,0,0,1
40,0,113,2,36,28,98,2,68,4,1,0,1,0,1,0,0,1,0,0
25,1,10,3,87,5,84,2,85,5,0,1,0,0,0,0,1,0,0,0
28,1,282,4,82,43,82,0,78,1,0,1,0,0,0,0,1,1,0,0
36,1,261,3,76,11,88,1,37,2,0,1,0,0,1,0,0,0,1,0
33,1,38,4,53,17,58,2,35,4,0,1,0,0,0,0,1,0,1,0
22,1,130,4,88,20,96,1,89,1,0,0,1,0,0,0,0,0,0,1
46,1,42,1,74,11,92,1,89,4,0,0,1,0,0,1,0,0,0,1
27,0,213,1,57,8,58,1,95,4,0,0,1,0,0,0,0,1,0,0
33,1,322,4,40,7,67,1,35,1,1,0,1,0,0,1,0,0,0,1
18,1,418,3,68,9,90,1,48,2,1,1,0,0,0,1,0,0,0,0
31,0,320,1,34,2,88,2,88,5,0,0,1,1,0,0,0,0,0,1
38,2,414,2,43,15,65,0,95,5,1,1,0,0,0,0,0,0,1,0
15,2,266,4,57,32,88,2,64,3,0,1,0,1,0,0,0,1,0,0
18,1,439,1,79,17,98,0,81,1,1,0,1,1,0,0,0,0,0,1
47,1,332,1,38,47,74,2,72,5,1,0,1,1,0,0,0,0,1,0
41,0,294,1,41,1,82,2,52,3,1,0,1,0,0,0,1,0,0,0
49,1,77,2,60,9,73,2,75,1,0,1,0,0,0,0,1,0,0,0
44,0,347,3,86,9,94,0,62,3,0,1,0,0,0,0,0,0,0,0
49,1,44,3,47,48,77,1,97,4,0,1,0,0,0,0,1,0,0,0
17,1,313,2,33,11,41,1,93,4,1,0,1,0,0,1,0,0,0,0
16,1,342,2,54,37,93,2,66,2,1,1,0,0,0,0,1,1,0,0
32,1,139,3,82,10,80,0,37,1,1,1,0,0,1,0,0,1,0,0
15,0,433,4,59,13,54,0,56,5,0,0,1,0,0,1,0,0,0,0
42,1,483,1,38,24,92,2,79,3,1,0,1,0,0,1,0,0,0,0
24,2,492,3,96,34,60,0,39,5,0,0,1,0,1,0,0,1,0,0
35,0,230,3,48,9,56,1,83,3,0,1,0,0,0,0,0,1,0,0
17,2,323,3,98,10,42,0,52,3,1,1,0,0,1,0,0,0,0,1
15,2,167,4,78,43,55,2,38,1,0,1,0,0,0,0,0,0,0,1
34,1,443,2,63,5,89,1,86,2,0,0,1,0,0,0,0,1,0,0
18,0,410,3,37,19,95,1,94,2,0,1,0,0,0,1,0,0,1,0
40,1,435,1,38,39,59,1,96,1,0,0,1,0,0,1,0,1,0,0
16,2,340,4,89,23,47,0,91,3,0,0,1,1,0,0,0,0,1,0
17,2,105,2,54,35,73,1,38,1,0,1,0,1,0,0,0,1,0,0
28,1,122,2,52,36,53,1,40,5,0,0,1,0,1,0,0,1,0,0
47,2,289,4,68,21,90,1,70,1,0,1,0,0,0,0,1,0,0,1
35,1,457,3,81,38,83,1,81,3,0,1,0,1,0,0,0,1,0,0
48,1,146,2,82,17,59,2,38,3,0,0,1,0,0,0,1,0,1,0
27,1,445,3,45,44,87,1,70,5,0,1,0,1,0,0,0,0,0,1
49,1,442,1,97,13,93,1,59,5,0,1,0,0,0,0,0,0,0,1
24,1,170,4,30,33,70,1,47,5,0,1,0,1,0,0,0,0,0,0
44,0,259,2,72,9,44,2,86,3,0,1,0,0,0,0,0,0,1,0
22,1,294,1,76,16,53,2,55,4,0,1,0,0,0,0,0,0,0,1
22,1,136,2,88,20,77,1,92,1,0,1,0,0,1,0,0,0,0,0
32,0,458,3,53,17,57,1,53,2,0,1,0,1,0,0,0,0,0,0
23,2,194,4,82,10,57,1,66,5,1,0,1,0,0,1,0,0,0,0
30,2,414,2,98,39,97,0,87,2,0,0,1,0,0,1,0,1,0,0
35,0,356,2,78,44,84,2,43,2,0,1,0,0,1,0,0,0,0,0
25,1,472,2,32,9,79,1,95,1,0,1,0,0,0,1,0,0,1,0
26,1,420,2,99,4,77,1,87,3,1,0,1,1,0,0,0,1,0,0
26,1,386,3,68,20,86,2,38,5,0,0,1,1,0,0,0,0,0,0
40,0,96,1,85,26,47,1,50,2,1,0,1,0,0,1,0,0,1,0
45,1,79,1,41,32,44,1,73,5,0,1,0,0,0,1,0,0,0,0
38,1,145,4,98,18,90,2,85,3,0,1,0,0,0,1,0,0,0,0
46,2,411,2,65,39,61,2,80,1,0,0,1,0,0,1,0,0,0,1
28,1,86,2,92,2,88,2,63,4,1,0,1,0,0,0,0,0,0,0
18,0,53,3,39,11,58,2,42,2,0,1,0,1,0,0,0,1,0,0
38,2,426,4,62,20,44,2,92,1,0,0,0,0,0,0,1,1,0,0
26,0,425,3,55,44,52,1,97,2,0,0,1,0,0,0,1,0,0,1
25,1,112,2,87,4,86,0,40,5,0,1,0,0,0,1,0,0,1,0
25,1,231,1,64,18,87,0,84,5,0,1,0,0,1,0,0,0,0,0
35,1,183,3,89,15,91,0,95,2,0,0,1,0,0,0,1,0,0,0
26,1,245,4,71,0,74,2,94,4,0,0,1,1,0,0,0,0,0,1
44,0,142,1,86,28,94,1,79,5,0,1,0,0,0,0,0,0,1,0
18,2,319,2,37,21,53,1,43,1,0,0,1,0,0,0,1,1,0,0
22,1,183,2,74,38,89,1,32,1,0,0,0,0,0,0,0,0,0,0
26,2,393,3,70,16,46,0,91,2,1,1,0,0,0,0,0,0,0,1
29,0,454,4,31,49,75,1,62,5,0,0,1,0,0,0,0,1,0,0
15,1,406,3,53,46,55,1,85,4,1,1,0,0,0,0,1,0,0,1
29,1,425,4,56,12,67,0,92,1,0,1,0,0,0,0,1,0,1,0
16,1,326,4,78,9,59,1,60,1,0,1,0,0,0,1,0,0,0,1
22,1,408,4,48,25,49,0,48,4,0,1,0,0,0,0,0,0,0,1
18,1,499,3,71,33,76,2,33,1,1,0,1,0,0,0,0,0,0,1
27,0,276,2,83,38,96,1,89,1,0,0,1,0,1,0,0,0,0,0
32,2,469,3,86,20,89,1,90,2,1,1,0,0,1,0,0,0,0,1
31,1,59,3,43,9,62,2,50,3,1,1,0,1,0,0,0,0,0,0
29,1,76,2,99,45,77,1,90,2,0,0,1,0,1,0,0,0,0,1
24,0,127,4,46,8,91,1,72,4,0,1,0,0,0,0,0,0,0,1
43,1,333,1,96,23,55,2,74,2,0,1,0,0,0,0,0,0,0,1
28,1,216,4,75,23,40,1,71,1,0,0,1,0,1,0,0,0,0,0
33,1,234,4,55,30,61,1,80,4,0,0,1,1,0,0,0,0,1,0
39,1,459,3,78,31,43,0,73,5,0,1,0,1,0,0,0,0,0,0
48,1,399,3,34,33,99,0,33,4,0,1,0,0,0,0,1,1,0,0
36,1,73,2,75,27,79,1,96,5,0,0,1,0,0,0,0,0,0,1
